brand,model,year,mileage,transmission,location,fuel_type,price
Jeep,Wrangler 3.6 Rubicon Unlimited 4 Door SUV,2014,25022,Automatic,Bali,Bensin,899000000
Hyundai,Stargazer 1.5 Prime MPV,2022,27525,Automatic,Jawa Barat,Bensin,200000000
Nissan,Livina 1.5 VL MPV - MATIC LOW KM 28RB ISTIMEWA,2021,15012,Automatic,Jawa Tengah,Bensin,199000000
Hyundai,IONIQ 5 Signature Long Range SUV - 0.0,2023,15012,Automatic,DKI Jakarta,Elektrik,575000000
Honda,HR-V 1.5 Special Edition SUV - km 28 rb,2023,15012,Automatic,DKI Jakarta,Bensin,309000000
Toyota,Voxy 2.0 MPV - km 77 rb,2018,37535,Automatic,DKI Jakarta,Bensin,255000000
Honda,Mobilio 1.5 E MPV,2016,37535,Manual,Jawa Barat,Bensin,130000000
Hyundai,Creta 1.5 Prime SUV,2023,30027,Automatic,Jawa Barat,Bensin,270000000
Honda,WR-V 1.5 RS Honda Sensing SUV - RS Sensing,2023,17515,Automatic,Banten,Bensin,248000000
Mercedes-Benz,E300 2.0 AMG Line Sedan,2025,2500,Automatic,DKI Jakarta,Bensin,1845000000
Mercedes-Benz,CLA200 1.3 AMG Line Coupe,2025,2500,Automatic,DKI Jakarta,Bensin,1045000000
Mercedes-Benz,S450L 3.0 Luxury 4MATIC Sedan,2024,2500,Automatic,DKI Jakarta,Bensin,2900000000
Mercedes-Benz,GLB200 1.3 AMG Line SUV,2025,2500,Automatic,DKI Jakarta,Bensin,1250000000
Mercedes-Benz,GLC300 2.0 AMG Line 4MATIC SUV,2025,2500,Automatic,DKI Jakarta,Bensin,1500000000
Mercedes-Benz,GLE450 3.0 AMG Line 4MATIC SUV,2025,2500,Automatic,DKI Jakarta,Bensin,1950000000
Mercedes-Benz,GLS450 3.0 AMG Line 4MATIC SUV,2024,2500,Automatic,DKI Jakarta,Bensin,2750000000
Mercedes-Benz,Mercedes-Maybach GLS600 4.0 SUV,2025,2500,Automatic,DKI Jakarta,Bensin,10500000000
Mercedes-Benz,G500 3.0 Professional Line SUV,2025,2500,Automatic,DKI Jakarta,Bensin,5645000000
Mercedes-Benz,G580 EQ Edition One SUV - 0.0,2025,2500,Automatic,DKI Jakarta,Bensin,5850000000
Mercedes-Benz,V250 2.0 Avantgarde Van,2024,2500,Automatic,DKI Jakarta,Bensin,2095000000
Mercedes-Benz,SPRINTER 2.1 414 CDI A3 Van,2025,2500,Manual,DKI Jakarta,Bensin,1567000000
Mercedes-Benz,EQA250 Electric Art Line SUV - 0.0,2024,2500,Automatic,DKI Jakarta,Elektrik,1270000000
Mercedes-Benz,EQS450+ AMG Line Sedan - EQS450 0.0,2024,2500,Automatic,DKI Jakarta,Bensin,2550000000
Mercedes-Benz,EQS450+ AMG Line Sedan - EQS450 0.0,2024,2500,Automatic,DKI Jakarta,Bensin,2999000000
Mercedes-Benz,EQS450+ Edition One Sedan - EQS450 0.0,2024,2500,Automatic,DKI Jakarta,Bensin,2800000000
Mercedes-Benz,AMG G63 4.0 SUV,2025,2500,Automatic,DKI Jakarta,Bensin,7700000000
Mercedes-Benz,E300 2.0 AMG Line Sedan,2025,2500,Automatic,DKI Jakarta,Bensin,1600000000
Mercedes-Benz,EQE350+ Electric Art Line Sedan - EQE350 0.0,2024,2500,Automatic,DKI Jakarta,Elektrik,1760000000
Mitsubishi,XFORCE 1.5 Ultimate SUV,2024,7505,Automatic,Banten,Bensin,270000000
Suzuki,Baleno 1.5 Hatchback,2024,7505,Automatic,Banten,Bensin,210000000
Toyota,Fortuner 2.8 GR Sport 4X2 SUV - km 18 rb,2023,10007,Automatic,DKI Jakarta,Diesel,490000000
KIA,Seltos 1.4 EX+ SUV - EX km 24 rb,2022,12510,Automatic,DKI Jakarta,Bensin,245000000
Toyota,Fortuner 2.5 G SUV,2011,60057,Automatic,Jawa Timur,Bensin,205000000
Honda,HR-V 1.8 Prestige SUV,2015,68300,Automatic,Jawa Barat,Bensin,197000000
Honda,BR-V 1.5 E Prestige SUV,2017,79212,Automatic,Jawa Barat,Bensin,170000000
Honda,Brio 1.2 Satya E Hatchback,2025,4700,Automatic,Jawa Barat,Bensin,185000000
Honda,Brio 1.2 Satya E Hatchback,2019,53253,Automatic,Jawa Barat,Bensin,146000000
Honda,City 1.5 RS Hatchback,2021,82441,Automatic,Jawa Barat,Bensin,214000000
Honda,WR-V 1.5 RS Honda Sensing SUV - RS Sensing,2023,30269,Automatic,Jawa Barat,Bensin,248000000
Toyota,Kijang Innova 2.0 G MPV - km 34 rb,2022,17515,Automatic,DKI Jakarta,Bensin,289000000
Mazda,3 2.0 SKYACTIV-G Hatchback - km 13 rb,2024,7505,Automatic,DKI Jakarta,Bensin,479000000
Mazda,CX-3 1.5 Sport SUV - km 29 rb,2023,15012,Automatic,DKI Jakarta,Bensin,289000000
Honda,CR-V 1.5 Black Edition SUV - km 46 rb,2022,22520,Automatic,DKI Jakarta,Bensin,459000000
Chevrolet,TRAX 1.4 LTZ SUV - KM 27 RB. Masih Plastikan Kaya Baru,2017,12510,Automatic,DKI Jakarta,Bensin,149000000
Honda,Civic 1.5 RS Sedan,2024,10007,Automatic,DKI Jakarta,Bensin,463000000
Nissan,Serena 2.0 Highway Star MPV,2015,40037,Automatic,DKI Jakarta,Bensin,145000000
Toyota,Fortuner 2.7 G Lux SUV - KM 52 RB. SiMPANAN KAYA BARU..,2011,25022,Automatic,DKI Jakarta,Bensin,190000000
Volkswagen,Caravelle 2.0 TDI 7 seater MPV - KM 74 RB Record,2012,35032,Automatic,DKI Jakarta,Bensin,228000000
Toyota,Avanza 1.5 Luxury Veloz MPV - Rapi Sekali Bagus..,2015,60057,Automatic,DKI Jakarta,Bensin,134000000
Suzuki,Jimny 1.5 3 Door (2 Tone) SUV,2021,20017,Automatic,Jawa Timur,Bensin,395000000
Honda,Accord 1.5 Sedan,2022,45042,Automatic,DKI Jakarta,Bensin,443000000
Daihatsu,Rocky 1.0 R TC ASA SUV,2021,20017,Automatic,Jawa Barat,Bensin,188000000
Honda,CR-V 1.5 Turbo Prestige SUV,2018,20017,Automatic,DKI Jakarta,Bensin,302000000
Toyota,Raize 1.0 GR Sport (2 Tone) SUV,2022,12510,Automatic,DKI Jakarta,Bensin,204000000
Suzuki,Jimny 1.5 5 Door (2 Tone) SUV,2024,2500,Automatic,DKI Jakarta,Bensin,450000000
Daihatsu,"Sigra 1.2 R MPV - Dp 10,5 Juta",2025,2500,Automatic,DKI Jakarta,Bensin,149000000
Honda,"Brio 1.2 Satya E Hatchback - Dp 18,5 Juta",2017,50047,Automatic,DKI Jakarta,Bensin,117500000
Toyota,Alphard 2.5 G MPV - Dp 80 Juta,2021,20017,Automatic,DKI Jakarta,Bensin,695000000
Toyota,Avanza 1.3 E MPV - Dp 36 Juta,2020,72570,Manual,DKI Jakarta,Bensin,150000000
Toyota,Calya 1.2 G MPV - Dp 10 Juta,2022,50047,Automatic,DKI Jakarta,Bensin,135000000
Toyota,Rush 1.5 GR Sport SUV - Dp 15 Juta,2023,12510,Automatic,DKI Jakarta,Bensin,230000000
Daihatsu,Gran Max 1.3 Blind AC Van,2020,40037,Manual,DKI Jakarta,Bensin,110000000
Honda,Civic 1.5 RS Hatchback,2020,35032,Automatic,Jawa Timur,Bensin,395000000
Honda,WR-V 1.5 RS Honda Sensing SUV - RS Sensing,2024,12510,Automatic,Jawa Timur,Bensin,252000000
Mitsubishi,Xpander 1.5 Ultimate MPV - AT HITAM,2020,32530,Automatic,Jawa Barat,Bensin,210000000
Honda,HR-V 1.8 Prestige SUV,2019,30027,Automatic,Banten,Bensin,228000000
Suzuki,Baleno 1.5 Hatchback,2024,7505,Automatic,DKI Jakarta,Bensin,215000000
Toyota,Voxy 2.0 MPV,2018,25022,Automatic,DKI Jakarta,Bensin,245000000
Honda,City 1.5 RS Hatchback,2022,22520,Automatic,DKI Jakarta,Bensin,205000000
Subaru,WRX STi 2.5 4D Sedan,2013,12510,Automatic,DKI Jakarta,Bensin,410000000
Honda,HR-V 1.5 Special Edition SUV,2025,2500,Automatic,Banten,Bensin,340000000
Suzuki,Baleno 1.5 Hatchback,2024,27525,Automatic,DKI Jakarta,Bensin,198000000
Wuling,Alvez 1.5 EX SUV,2023,12510,Automatic,Banten,Bensin,160000000
Toyota,Calya 1.2 G MPV - TDP 12 JUTA ( FULL SERVICE RECORD ),2021,47545,Automatic,DKI Jakarta,Bensin,115000000
Mazda,CX-5 2.5 Elite SUV,2019,37535,Automatic,Jawa Barat,Bensin,270000000
Daihatsu,Gran Max 1.3 PU Box STD Pickup - TDP 10 JUTA,2021,40037,Manual,DKI Jakarta,Bensin,115000000
Daihatsu,Gran Max 1.3 Blind AC Van - TDP 15 JUTA,2020,45042,Manual,Banten,Bensin,110000000
Honda,HR-V 1.5 E SUV,2021,50047,Automatic,Jawa Barat,Bensin,234000000
Toyota,Kijang Innova 2.4 V MPV,2019,35032,Automatic,DKI Jakarta,Bensin,372000000
Suzuki,Ertiga 1.5 Hybrid GX MPV,2023,42540,Automatic,DKI Jakarta,Hybrid,216000000
Toyota,Veloz 1.5 Q (Premium Color) MPV,2023,25022,Automatic,DKI Jakarta,Bensin,236000000
Mitsubishi,Destinator 1.5 Ultimate Premium SUV - MATIC READY TANPA INDEN ISTIMEWA,2025,10007,Automatic,Jawa Tengah,Bensin,445000000
Mercedes-Benz,GLB200 1.3 AMG Line SUV,2024,2500,Automatic,DKI Jakarta,Bensin,1080000000
Mercedes-Benz,EQE350 4MATIC AMG Line SUV - 0.0,2024,2500,Automatic,DKI Jakarta,Bensin,2600000000
Suzuki,Ertiga 1.5 GX MPV - TERMURAH BERKUALITAS BERGARANSI,2018,30027,Automatic,Jawa Barat,Bensin,170000000
Suzuki,Ertiga 1.5 Hybrid SS MPV,2022,25022,Automatic,DKI Jakarta,Hybrid,206000000
Mitsubishi,"Xpander 1.5 Ultimate MPV - KM Rendah, Siap Pakai, Harga Nego",2022,15012,Automatic,Banten,Bensin,251000000
Suzuki,"Ertiga 1.5 Hybrid SS MPV - Matic, Mesin Halus, Nego Sampai Jadi",2022,25022,Automatic,Jawa Barat,Hybrid,204000000
Toyota,Yaris Cross 1.5 S HV (2 Tone) w GR Parts Aero Pkg (Prem Clr) SUV - TSS,2023,15012,Automatic,Jawa Tengah,Hybrid,340000000
Denza,D9 Advanced MPV - 0.0,2026,2500,Automatic,DKI Jakarta,Bensin,950000000
Suzuki,XL7 1.5 Beta Hybrid SUV - KM 3 Ribu,2025,2500,Automatic,Jawa Tengah,Hybrid,250000000
Toyota,Rush 1.5 GR Sport SUV,2022,10007,Automatic,Jawa Timur,Bensin,220000000
Honda,WR-V 1.5 RS Honda Sensing SUV - RS Sensing,2024,5002,Automatic,Jawa Timur,Bensin,252000000
Suzuki,Baleno 1.5 Hatchback - AT KM ISTIMEWA,2023,12510,Automatic,Banten,Bensin,215000000
Mazda,CX-5 2.5 Elite SUV - KM 52RB,2019,25022,Automatic,Banten,Bensin,289000000
Hyundai,Stargazer 1.5 Active MPV,2022,10007,Automatic,Jawa Barat,Bensin,175000000
Toyota,Calya 1.2 G MPV,2018,40037,Automatic,Jawa Barat,Bensin,117000000
Toyota,Calya 1.2 G MPV,2023,5002,Automatic,Jawa Barat,Bensin,152000000
Honda,BR-V 1.5 E Prestige SUV,2017,40037,Automatic,Jawa Barat,Bensin,175000000
Honda,HR-V 1.8 Prestige SUV,2015,35032,Automatic,Jawa Barat,Bensin,203000000
Toyota,Vellfire 2.5 G MPV - ATPM TDP 35 JUTA,2015,32530,Automatic,DKI Jakarta,Bensin,390000000
Hyundai,Stargazer 1.5 Prime MPV,2023,20017,Automatic,DKI Jakarta,Bensin,198000000
Toyota,Avanza 1.5 G MPV,2024,40037,Automatic,Jawa Barat,Bensin,210000000
Honda,CR-V 1.5 Turbo SUV,2020,35032,Automatic,DKI Jakarta,Bensin,288000000
Toyota,Voxy 2.0 (Premium Color) MPV,2025,15012,Automatic,DKI Jakarta,Bensin,488000000
Toyota,Fortuner 2.4 VRZ TRD 4X2 SUV,2019,45042,Automatic,DKI Jakarta,Diesel,388000000
Toyota,Raize 1.0 T G (1 Tone) SUV,2024,10007,Automatic,DKI Jakarta,Bensin,195000000
BMW,330i 2.0 M Sport Sedan,2016,15012,Automatic,DKI Jakarta,Bensin,400000000
Lexus,RX 200t 2.0 F Sport SUV,2017,25022,Automatic,DKI Jakarta,Bensin,625000000
BMW,320i 2.0 Sport Sedan,2013,10007,Automatic,DKI Jakarta,Bensin,275000000
Honda,City 1.5 RS Hatchback,2022,22520,Automatic,Banten,Bensin,198000000
Mazda,2 1.5 GT Hatchback,2015,25022,Automatic,DKI Jakarta,Bensin,155000000
Hyundai,Tucson 2.0 GLS SUV,2018,47545,Automatic,Banten,Bensin,168000000
Mercedes-Benz,C200 1.8 CGI Sedan,2013,25022,Automatic,Banten,Bensin,163000000
Toyota,Fortuner 2.4 VRZ 4X2 SUV,2021,30027,Automatic,DKI Jakarta,Bensin,453000000
Honda,HR-V 1.5 E Special Edition SUV - Dp 13 Juta,2019,40037,Automatic,DKI Jakarta,Bensin,195000000
Toyota,Agya 1.2 G Hatchback - Dp 14 Juta,2025,10007,Automatic,DKI Jakarta,Bensin,150000000
Toyota,Raize 1.0 GR Sport TSS (2 Tone) SUV - Dp 35 Juta,2022,25022,Automatic,DKI Jakarta,Bensin,205000000
Honda,CR-V 1.5 Turbo Prestige SUV - Dp 15 Juta,2018,40037,Automatic,DKI Jakarta,Bensin,285000000
Toyota,Sienta 1.5 Q MPV - Dp 20 Juta,2019,47545,Automatic,DKI Jakarta,Bensin,177500000
Toyota,"Calya 1.2 G MPV - Dp 13,5 Juta",2020,60057,Automatic,DKI Jakarta,Bensin,122500000
Mazda,CX-60 3.3 Kuro Edition SUV - (Hot Deals DP Minim),2023,15012,Automatic,Banten,Bensin,535000000
Land,Rover Range Rover 3.0 P400 Autobiography MHEV SWB SUV - (Hot Deals Odo Very Low DP Minim),2022,5002,Automatic,Banten,Elektrik,4500000000
Honda,HR-V 1.5 Special Edition SUV,2023,27525,Automatic,Jawa Barat,Bensin,331000000
Honda,City 1.5 RS Honda Sensing Hatchback - RS Sensing,2022,42540,Automatic,Jawa Barat,Bensin,238000000
Toyota,Raize 1.0 GR Sport TSS (2 Tone) SUV,2021,30027,Automatic,Jawa Barat,Bensin,205000000
Toyota,Kijang Innova 2.4 V MPV,2022,37535,Automatic,Jawa Barat,Bensin,389000000
Hyundai,Creta 1.5 Prime SUV,2022,30027,Automatic,Jawa Barat,Bensin,263000000
Toyota,Yaris 1.5 TRD Sportivo 3 AB Hatchback,2021,17515,Automatic,Jawa Barat,Bensin,216000000
Toyota,Yaris 1.5 TRD Sportivo Hatchback,2019,37535,Automatic,Jawa Barat,Bensin,198000000
Honda,WR-V 1.5 RS Honda Sensing SUV - RS Sensing,2022,27525,Automatic,Jawa Barat,Bensin,243000000
Toyota,Raize 1.0 GR Sport (1 Tone) SUV,2022,17515,Automatic,DKI Jakarta,Bensin,218000000
Toyota,Yaris 1.5 TRD Sportivo 3 AB Hatchback,2021,27525,Automatic,Jawa Barat,Bensin,217000000
Toyota,Agya 1.2 GR Sport Hatchback,2022,17515,Manual,Jawa Barat,Bensin,138000000
Honda,BR-V 1.5 Prestige Honda Sensing SUV - Prestige Sensing,2022,32530,Automatic,Jawa Barat,Bensin,242000000
Honda,Brio 1.2 Satya E Hatchback,2023,10007,Automatic,Jawa Barat,Bensin,165000000
Honda,Brio 1.2 Satya E Hatchback,2024,15012,Automatic,Jawa Barat,Bensin,175000000
Honda,Accord 1.5 Sedan,2022,42540,Automatic,Jawa Barat,Bensin,455000000
Mitsubishi,Xpander 1.5 Ultimate MPV,2018,42540,Automatic,Jawa Barat,Bensin,195000000
Mercedes-Benz,E300 2.0 AMG Line Sedan,2018,12510,Automatic,DKI Jakarta,Bensin,475000000
Mitsubishi,Xpander Cross 1.5 MPV,2020,25022,Automatic,Jawa Barat,Bensin,228000000
Nissan,Livina 1.5 VL MPV,2022,30027,Automatic,Jawa Barat,Bensin,210000000
Toyota,Raize 1.0 T G (1 Tone) SUV,2024,20017,Automatic,Jawa Barat,Bensin,214000000
Toyota,Raize 1.0 GR Sport TSS (1 Tone) SUV,2022,12510,Automatic,Jawa Barat,Bensin,220000000
Toyota,Raize 1.0 GR Sport TSS (1 Tone) SUV,2022,20017,Automatic,Jawa Barat,Bensin,218000000
Toyota,Raize 1.2 G (1 Tone) SUV,2023,30027,Automatic,Jawa Barat,Bensin,195000000
Toyota,Raize 1.0 GR Sport TSS (2 Tone) SUV,2021,30027,Automatic,Jawa Barat,Bensin,208000000
Toyota,Voxy 2.0 (Premium Color) MPV,2024,20017,Automatic,Jawa Barat,Bensin,455000000
Toyota,Fortuner 2.4 VRZ GR SPORT 4X2 SUV,2021,30027,Automatic,Jawa Barat,Diesel,465000000
Toyota,Kijang Innova 2.4 V MPV,2019,35032,Automatic,Jawa Barat,Bensin,382000000
Toyota,Voxy 2.0 MPV,2020,42540,Automatic,Jawa Barat,Bensin,308000000
Lexus,RX 270 2.7 SUV,2011,60057,Automatic,DKI Jakarta,Bensin,188000000
Honda,Brio 1.2 Satya E Hatchback - LIKE NEW,2024,12510,Automatic,DKI Jakarta,Bensin,153000000
Toyota,Alphard 2.5 G MPV,2023,20017,Automatic,DKI Jakarta,Bensin,798000000
Hyundai,Stargazer 1.5 Prime MPV,2023,10007,Automatic,DKI Jakarta,Bensin,195000000
Wuling,Almaz 1.5 Exclusive 5 Seater SUV,2019,32530,Automatic,DKI Jakarta,Bensin,149000000
Honda,CR-V 2.4 SUV,2010,50047,Automatic,DKI Jakarta,Bensin,135000000
Toyota,Fortuner 2.4 VRZ 4X2 SUV,2016,55052,Automatic,DKI Jakarta,Bensin,319000000
Honda,WR-V 1.5 RS SUV - MATIC PAJAK BARU ISTIMEWA,2023,25022,Automatic,Jawa Tengah,Bensin,225000000
Toyota,Kijang Innova 2.0 V MPV,2018,60057,Automatic,DKI Jakarta,Bensin,253500000
Mercedes-Benz,GLE250 2.1 d SUV,2017,35032,Automatic,DKI Jakarta,Bensin,488000000
Toyota,Fortuner 2.4 VRZ 4X2 SUV,2016,110107,Automatic,DKI Jakarta,Bensin,312000000
Mercedes-Benz,GLC200 2.0 Night Edition AMG SUV - (good Deals DP Termurah),2019,15012,Automatic,Banten,Bensin,540000000
Mercedes-Benz,G400 2.9 D AMG Line SUV - (Odod Very Low DP Minim),2023,5002,Automatic,Banten,Bensin,4250000000
Toyota,Land Cruiser 3.3 300 VX-R (Premium Colour) SUV - (Odo Vey Low DP Minim),2025,10007,Automatic,Banten,Bensin,2325000000
BMW,X1 1.5 sDrive18i xLine SUV - (Good Deals Like New),2023,2500,Automatic,Banten,Bensin,625000000
BMW,X1 1.5 sDrive18i xLine SUV - (Good Deals DP Minim),2021,12510,Automatic,Banten,Bensin,435000000
Lexus,RX 300 2.0 Luxury SUV - (Hot Deals DP Termurah),2020,25022,Automatic,Banten,Bensin,725000000
BMW,Z4 3.0 M40i Convertible,2023,2500,Automatic,DKI Jakarta,Bensin,1465000000
Subaru,BRZ 2.0 Coupe,2012,12510,Automatic,DKI Jakarta,Bensin,465000000
Toyota,Vellfire 2.4 V MPV,2011,85082,Automatic,DKI Jakarta,Bensin,188000000
Toyota,Yaris 1.5 G Hatchback,2017,32530,Automatic,DKI Jakarta,Bensin,148000000
Mercedes-Benz,B200 1.6 Sport Hatchback,2014,17515,Automatic,DKI Jakarta,Bensin,188000000
Mercedes-Benz,S350 L 3.5 Sedan,2014,12510,Automatic,DKI Jakarta,Bensin,398000000
BMW,320i 2.0 Luxury Sedan,2018,12510,Automatic,DKI Jakarta,Bensin,338000000
Mercedes-Benz,E300 2.0 AMG Line Sedan,2017,20017,Automatic,DKI Jakarta,Bensin,498000000
Mercedes-Benz,GLC300 2.0 AMG Line 4MATIC SUV - (Good Deals Very Low Odo),2023,7505,Automatic,Banten,Bensin,1055000000
Mercedes-Benz,C300 2.0 AMG Line Sedan - (Good Deals DP Minim),2024,5002,Automatic,Banten,Bensin,965000000
Mercedes-Benz,GLE450 3.0 AMG Line 4MATIC SUV - (Good Deals Termurah),2022,15012,Automatic,Banten,Bensin,1185000000
Toyota,Voxy 2.0 MPV - (Hot Deals DP Minim),2017,55052,Automatic,Banten,Bensin,229000000
Peugeot,3008 1.6 GT Line SUV - (Good Deals DP Minim),2018,30027,Automatic,Banten,Bensin,222000000
BMW,X1 1.5 sDrive18i xLine SUV - (Hot Deals DP Termurah),2020,17515,Automatic,Banten,Bensin,399000000
Mitsubishi,Pajero Sport 2.5 Exceed SUV,2016,55052,Automatic,DKI Jakarta,Diesel,288000000
Toyota,Kijang Innova 2.0 G Lux MPV,2011,55052,Automatic,DKI Jakarta,Bensin,135000000
Toyota,Kijang Innova 2.4 V MPV,2017,17515,Automatic,DKI Jakarta,Bensin,335000000
Land,Rover Range Rover Sport 3.0 HSE SUV,2014,37535,Automatic,DKI Jakarta,Bensin,668000000
Mazda,CX-80 2.5 Elite PHEV SUV,2025,2500,Automatic,DKI Jakarta,Elektrik,998000000
Chery,Tiggo 8 1.5 CSH Premium AWD SUV - Turbo Hybrid Panoramic AT Hijau NIK LOW KM 5RB,2025,5002,Automatic,DKI Jakarta,Hybrid,435000000
Toyota,Agya 1.2 G Hatchback - CVT Facelift AT Merah Metalik NIK GARANSI 5TH,2023,5002,Automatic,DKI Jakarta,Bensin,145000000
Toyota,Fortuner 2.8 GR Sport 4X2 SUV - 4x2 Diesel Kick Sensor AT Hitam GARANSI 5TH,2024,17515,Automatic,Banten,Diesel,475000000
Volkswagen,Tiguan 1.4 TSI Allspace SUV - AT Hitam Pemakaian 2022 NIK 202 LOW KM,2021,22520,Automatic,Banten,Bensin,269000000
GWM,Haval Jolion 1.5 HEV SUV - Hybrid HDT AT Hitam Metalik NIK LOW KM 1RB,2025,2500,Automatic,Banten,Elektrik,290000000
Honda,Brio 1.2 Satya E Hatchback - CVT AT Merah NIK LOW KM 29RB,2019,15012,Automatic,DKI Jakarta,Bensin,129000000
Hyundai,Creta 1.5 Prime SUV - IVT BOSE AT Putih NIK GARANSI 5TH,2022,25022,Automatic,Banten,Bensin,245000000
Toyota,Alphard 2.5 G MPV - Pilot Seat AT Putih GARANSI 5TH,2019,40037,Automatic,Banten,Bensin,530000000
Honda,HR-V 1.5 Turbo RS SUV - Sensing CVT AT Hitam Mutiara NIK GARANSI 5TH,2024,10007,Automatic,Banten,Bensin,375000000
BAIC,BJ40 Plus 2.0 Wagon - Turbo 4x4 AWD AT Hijau Metalik NIK LOW KM 3RB,2025,2500,Automatic,DKI Jakarta,Bensin,550000000
Toyota,Kijang Innova Zenix 2.0 Q HV TSS Modellista (Premium Color) MPV,2023,10007,Automatic,DKI Jakarta,Hybrid,477000000
Toyota,Voxy 2.0 MPV,2018,22520,Automatic,Banten,Bensin,240000000
Hyundai,Stargazer X 1.5 Prime MPV,2023,2500,Automatic,DKI Jakarta,Bensin,245000000
Honda,Mobilio 1.5 E MPV,2016,52550,Automatic,DKI Jakarta,Bensin,110000000
BYD,M6 Superior 7-seaters MPV - 0.0,2025,15012,Automatic,DKI Jakarta,Bensin,340000000
MG,HS 1.5 Ignite SUV,2022,40037,Automatic,DKI Jakarta,Bensin,195000000
Honda,HR-V 1.8 Prestige SUV,2016,60057,Automatic,DKI Jakarta,Bensin,185000000
BYD,Seal Premium Extended Range Sedan - 0.0,2024,15012,Automatic,DKI Jakarta,Bensin,430000000
BYD,Seal Performance AWD Sedan - 0.0,2024,10007,Automatic,DKI Jakarta,Bensin,475000000
Nissan,X-Trail 2.0 SUV,2013,47545,Automatic,DKI Jakarta,Bensin,98000000
DFSK,Glory 580 1.8 Luxury Version SUV,2018,40037,Automatic,DKI Jakarta,Bensin,95000000
Toyota,Fortuner 2.8 VRZ 4X2 SUV,2022,50047,Automatic,DKI Jakarta,Bensin,385000000
Chery,Tiggo 8 1.6 Premium SUV,2025,15012,Automatic,DKI Jakarta,Bensin,295000000
Hyundai,Santa Fe 2.2 Signature SUV,2022,42540,Automatic,DKI Jakarta,Bensin,379000000
Hyundai,Stargazer 1.5 Prime MPV - At Matic B Genap Warenty On 25Juta Dinar Auto,2023,53000,Automatic,Banten,Bensin,184000000
Toyota,Raize 1.0 GR Sport (2 Tone) SUV - KILOMETER RENDAH - SIAP PAKAI - TERMURAH,2022,12510,Automatic,Banten,Bensin,204000000
Toyota,Raize 1.0 GR Sport (2 Tone) SUV,2022,23908,Automatic,Jawa Barat,Bensin,204000000
Hyundai,Creta 1.5 Prime SUV,2023,73378,Automatic,Jawa Barat,Bensin,266000000
Mitsubishi,Xpander 1.5 Ultimate MPV,2022,46835,Automatic,Jawa Barat,Bensin,243000000
Hyundai,Stargazer 1.5 Prime MPV - KM 50RB Record,2024,25022,Automatic,Banten,Bensin,204000000
Honda,HR-V 1.5 Special Edition SUV - SENSING MATIC ISTIMEWA TERMURAH,2022,20017,Automatic,Jawa Tengah,Bensin,289000000
Hyundai,Creta 1.5 Prime SUV - MATIC TIPE TERTINGGI ISTIMEWA,2022,20017,Automatic,Jawa Tengah,Bensin,265000000
Mitsubishi,Pajero Sport 2.4 Dakar 4X2 SUV - KM 39RB,2021,20017,Automatic,Banten,Diesel,434000000
Mazda,3 2.0 SKYACTIV-G Sedan - MATIC KONDISI ISTIMEWA LEBIH MURAH DARI HATCHBACK,2023,10007,Automatic,Jawa Tengah,Bensin,365000000
Toyota,Fortuner 2.7 G Lux SUV,2010,42540,Automatic,Jawa Tengah,Bensin,175000000
Toyota,Vellfire 2.4 ZG MPV,2014,70067,Automatic,DKI Jakarta,Bensin,310000000
Volkswagen,Tiguan 1.4 TSI Allspace SUV,2022,22520,Automatic,DKI Jakarta,Bensin,310000000
Toyota,Alphard 2.4 G MPV,2012,57555,Automatic,Sulawesi Utara,Bensin,190000000
Lexus,RX 270 2.7 SUV,2011,25022,Automatic,DKI Jakarta,Bensin,235000000
Porsche,911 3.0 Carrera Coupe,2025,2500,Automatic,DKI Jakarta,Bensin,4300000000
Mitsubishi,Pajero Sport 2.5 Dakar 4X2 SUV,2016,37535,Automatic,Banten,Diesel,349000000
Honda,Brio 1.2 RS Hatchback,2022,40037,Automatic,Jawa Timur,Bensin,175000000
Honda,CR-V 1.5 Turbo Prestige SUV - NEGO,2019,12510,Automatic,Jawa Tengah,Bensin,400000000
MINI,Clubman 1.6 Cooper S Wagon,2008,7505,Automatic,DKI Jakarta,Bensin,460000000
Honda,Brio 1.2 Satya E Hatchback,2021,30027,Automatic,DKI Jakarta,Bensin,140000000
Mazda,CX-5 2.5 GT SUV,2019,47545,Automatic,DKI Jakarta,Bensin,277000000
Mercedes-Benz,E300 2.0 Avantgarde SportStyle Sedan,2019,17515,Automatic,DKI Jakarta,Bensin,512000000
Mercedes-Benz,GLB200 1.3 Progressive Line SUV,2022,27525,Automatic,Sulawesi Selatan,Bensin,655000000
Audi,Q5 2.0 TFSI SUV,2011,52550,Automatic,DKI Jakarta,Bensin,230000000
Toyota,Fortuner 2.8 GR Sport 4X2 SUV,2022,6100,Automatic,Banten,Diesel,500000000
Honda,HR-V 1.5 Special Edition SUV,2022,25022,Automatic,Yogyakarta,Bensin,308000000
Mercedes-Benz,GLC200 2.0 AMG Line SUV,2021,17515,Automatic,DKI Jakarta,Bensin,625000000
Mercedes-Benz,CLA200 1.6 AMG Coupe,2016,40037,Automatic,DKI Jakarta,Bensin,365000000
Toyota,Fortuner 2.5 G VNT SUV - mulus istimewa,2013,77575,Automatic,DKI Jakarta,Diesel,240000000
Toyota,"Alphard 2.5 G MPV - 2,5 A T",2018,42540,Automatic,DKI Jakarta,Bensin,450000000
